x,y,z,cluster
-9.67718,-6.53271,1.29149,3
-9.68043,-6.52876,0.861345,3
-9.7557,-7.11081,0.774748,3
-9.26455,-6.24404,0.415332,3
-9.13494,-6.65102,0.311682,3
-9.12044,-7.16313,0.209515,3
-9.20024,-6.1958,0.00755008,3
-9.13863,-6.65078,-0.101398,3
-9.11066,-6.12993,-0.394975,3
-9.14478,-6.64891,-0.512037,3
-9.81775,-6.5831,2.65022,3
-9.77006,-6.55112,2.18314,3
-9.72513,-7.05459,2.10852,3
-9.77725,-6.55669,1.30216,3
-9.587,-6.94495,1.19142,3
-9.73273,-6.52067,0.864214,3
-9.24131,-6.18723,0.413437,3
-9.16745,-6.63176,0.312095,3
-9.09745,-7.10005,0.208485,3
-9.13609,-6.11194,0.00748202,3
-9.13549,-6.60572,-0.101138,3
-9.1477,-6.11416,-0.395766,3
-9.08172,-6.56057,-0.507377,3
-9.57258,-6.37212,3.034,3
-9.68359,-6.45017,2.60865,3
-9.70389,-6.99591,2.55696,3
-9.74756,-6.49277,2.17365,3
-9.7883,-6.52065,1.7374,3
-9.74262,-7.01685,1.65514,3
-9.69061,-6.45557,1.28798,3
-9.6894,-7.52625,1.11959,3
-9.71034,-6.4626,0.860462,3
-9.68007,-6.96513,0.765333,3
-9.76747,-7.58142,0.676132,3
-9.24943,-6.15166,0.412954,3
-9.16259,-6.58551,0.311241,3
-9.08126,-7.0427,0.207618,3
-9.1523,-6.08222,0.00747997,3
-9.13054,-6.55958,-0.10086,3
-9.17724,-6.09325,-0.396233,3
-9.12859,-6.5519,-0.50887,3
-9.81388,-6.48939,3.10416,3
-9.8453,-7.05544,3.06445,3
-9.72287,-6.43335,2.6139,3
-9.70183,-6.41943,2.15905,3
-9.8355,-7.04295,2.12304,3
-9.79754,-6.4835,1.7355,3
-9.7351,-6.96618,1.65023,3
-9.7659,-6.46256,1.29534,3
-9.75164,-6.97339,1.20654,3
-9.8416,-6.50648,0.87032,3
-9.6543,-6.90174,0.761619,3
-9.25576,-6.11499,0.412397,3
-9.18275,-6.55737,0.311241,3
-9.11233,-7.02213,0.207835,3
-9.17342,-6.05577,0.00748202,3
-9.15469,-6.53444,-0.100904,3
-9.15168,-6.03591,-0.394328,3
-9.12181,-6.50472,-0.507377,3
-9.64578,-6.86776,2.99577,3
-9.81038,-6.9816,2.57368,3
-9.70587,-6.37938,2.15559,3
-9.76075,-6.94423,2.10229,3
-9.71736,-6.38766,1.71781,3
-9.64259,-6.85534,1.63097,3
-9.75437,-7.4812,1.12177,3
-9.78983,-6.42918,0.863993,3
-9.71611,-6.90098,0.764821,3
-9.26779,-6.08218,0.4121,3
-9.13027,-6.47769,0.308787,3
-9.11716,-6.98137,0.207456,3
-9.15433,-6.00292,0.00745139,3
-9.1698,-6.50285,-0.100851,3
-9.14443,-6.99668,-0.210226,3
-9.17099,-6.00835,-0.394364,3
-9.11401,-6.45707,-0.505839,3
-9.53677,-7.29087,2.91372,3
-9.75236,-6.36717,2.61128,3
-9.72874,-6.87864,2.54671,3
-9.88416,-6.98645,2.12425,3
-9.57787,-6.25397,1.68976,3
-9.82945,-6.94289,1.65897,3
-9.83729,-7.50268,1.58531,3
-9.67138,-6.31503,1.27764,3
-9.80725,-6.9226,1.20814,3
-9.50463,-6.20023,0.837141,3
-9.73642,-6.87057,0.764757,3
-9.25962,-6.03625,0.410911,3
-9.16971,-6.46347,0.309448,3
-9.16957,-6.97698,0.20816,3
-9.15008,-5.96007,0.00743301,3
-9.17254,-6.46259,-0.100662,3
-9.11093,-6.92684,-0.208966,3
-9.15169,-5.95566,-0.392746,3
-9.14766,-6.43885,-0.506608,3
-9.76547,-6.86307,3.01981,3
-9.79744,-7.44263,2.98637,3
-9.59696,-6.74139,2.50679,3
-9.77661,-7.42116,2.499,3
-9.47838,-6.14691,2.09665,3
-9.70968,-6.81855,2.08224,3
-9.76404,-7.40759,2.03028,3
-9.87097,-6.92693,1.66238,3
-9.6533,-6.76965,1.18661,3
-9.77944,-7.40557,1.11941,3
-9.71905,-6.81374,0.761747,3
-9.58985,-7.25674,0.657622,3
-9.25628,-5.9937,0.409945,3
-9.19932,-6.44219,0.309779,3
-9.14706,-6.91565,0.207167,3
-9.08856,-5.88036,0.00736834,3
-9.19151,-6.43385,-0.100653,3
-9.1441,-6.9079,-0.20924,3
-9.17999,-5.93406,-0.393178,3
-9.16983,-6.41248,-0.506744,3
-9.7411,-6.79811,2.53898,3
